UKBPPP_ProteinID	olink_target_fullname	OlinkID	UniProt	Assay	Panel	Panel_Lot_Nr	UniProt2	HGNC.symbol	Docname	Code	ensembl_id	chr	gene_start	gene_end	Strand	Dilution_factor	block
CTSS:P25774:OID21056:v1	Cathepsin S	OID21056	P25774	CTSS	Neurology	B04414	P25774	CTSS	CTSS_P25774_OID21056_v1_Neurology.tar	syn51469137	ENSG00000163131	1	150730079	150765957	-1	01:10	C
CTSV:O60911:OID21405:v1	Cathepsin L2	OID21405	O60911	CTSV	Oncology	B04412	O60911	CTSV	CTSV_O60911_OID21405_v1_Oncology.tar	syn51471281	ENSG00000136943	9	97029677	97156556	-1	01:01	C
CTSZ:Q9UBR2:OID20365:v1	Cathepsin Z	OID20365	Q9UBR2	CTSZ	Cardiometabolic	B04413	Q9UBR2	CTSZ	CTSZ_Q9UBR2_OID20365_v1_Cardiometabolic.tar	syn51471241	ENSG00000101160	20	58985686	59008238	-1	0.736111111	D
CX3CL1:P78423:OID20976:v1	Fractalkine	OID20976	P78423	CX3CL1	Neurology	B04414	P78423	CX3CL1	CX3CL1_P78423_OID20976_v1_Neurology.tar	syn51469816	ENSG00000006210	16	57372477	57385044	1	01:01	B
CXADR:P78310:OID20561:v1	Coxsackievirus and adenovirus receptor	OID20561	P78310	CXADR	Inflammation	B04411	P78310	CXADR	CXADR_P78310_OID20561_v1_Inflammation.tar	syn51469131	ENSG00000154639	21	17513043	17593579	1	01:01	B
CXCL1:P09341:OID20762:v1	Growth-regulated alpha protein	OID20762	P09341	CXCL1	Inflammation	B04411	P09341	CXCL1	CXCL1_P09341_OID20762_v1_Inflammation.tar	syn51469882	ENSG00000163739	4	73869393	73871308	1	01:10	D
CXCL10:P02778:OID20697:v1	C-X-C motif chemokine 10	OID20697	P02778	CXCL10	Inflammation	B04411	P02778	CXCL10	CXCL10_P02778_OID20697_v1_Inflammation.tar	syn51468434	ENSG00000169245	4	76021118	76023497	-1	01:10	D
CXCL11:O14625:OID21042:v1	C-X-C motif chemokine 11	OID21042	O14625	CXCL11	Neurology	B04414	O14625	CXCL11	CXCL11_O14625_OID21042_v1_Neurology.tar	syn51468649	ENSG00000169248	4	76033682	76041415	-1	01:10	C
CXCL12:P48061:OID20464:v1	Stromal cell-derived factor 1	OID20464	P48061	CXCL12	Inflammation	B04411	P48061	CXCL12	CXCL12_P48061_OID20464_v1_Inflammation.tar	syn51469428	ENSG00000107562	10	44370165	44386493	-1	01:01	A
CXCL13:O43927:OID21024:v1	C-X-C motif chemokine 13	OID21024	O43927	CXCL13	Neurology	B04414	O43927	CXCL13	CXCL13_O43927_OID21024_v1_Neurology.tar	syn51469574	ENSG00000156234	4	77511753	77611834	1	01:10	C
CXCL14:O95715:OID20458:v1	C-X-C motif chemokine 14	OID20458	O95715	CXCL14	Inflammation	B04411	O95715	CXCL14	CXCL14_O95715_OID20458_v1_Inflammation.tar	syn51471397	ENSG00000145824	5	135570679	135579279	-1	01:01	A
CXCL16:Q9H2A7:OID20282:v1	C-X-C motif chemokine 16	OID20282	Q9H2A7	CXCL16	Cardiometabolic	B04413	Q9H2A7	CXCL16	CXCL16_Q9H2A7_OID20282_v1_Cardiometabolic.tar	syn51471199	ENSG00000161921	17	4733533	4739928	-1	0.111111111	C
CXCL17:Q6UXB2:OID20622:v1	C-X-C motif chemokine 17	OID20622	Q6UXB2	CXCL17	Inflammation	B04411	Q6UXB2	CXCL17	CXCL17_Q6UXB2_OID20622_v1_Inflammation.tar	syn51470086	ENSG00000189377	19	42428278	42442946	-1	01:01	C
CXCL3:P19876:OID20788:v1	C-X-C motif chemokine 3	OID20788	P19876	CXCL3	Inflammation	B04411	P19876	CXCL3	CXCL3_P19876_OID20788_v1_Inflammation.tar	syn51470198	ENSG00000163734	4	74036589	74038807	-1	01:10	D
CXCL5:P42830:OID20207:v1	C-X-C motif chemokine 5	OID20207	P42830	CXCL5	Cardiometabolic	B04413	P42830	CXCL5	CXCL5_P42830_OID20207_v1_Cardiometabolic.tar	syn51470563	ENSG00000163735	4	73995642	73998677	-1	01:10	B
CXCL6:P80162:OID20613:v1	C-X-C motif chemokine 6	OID20613	P80162	CXCL6	Inflammation	B04411	P80162	CXCL6	CXCL6_P80162_OID20613_v1_Inflammation.tar	syn51470017	ENSG00000124875	4	73836640	73849064	1	01:01	C
CXCL8:P10145:OID20153:v1	Interleukin-8	OID20153	P10145	CXCL8	Cardiometabolic	B04413	P10145	CXCL8	CXCL8_P10145_OID20153_v1_Cardiometabolic.tar	syn51471182	ENSG00000169429	4	73740541	73743716	1	01:10	B
CXCL8:P10145:OID20631:v1	Interleukin-8	OID20631	P10145	CXCL8	Inflammation	B04411	P10145	CXCL8	CXCL8_P10145_OID20631_v1_Inflammation.tar	syn51471460	ENSG00000169429	4	73740541	73743716	1	01:01	C
CXCL8:P10145:OID20997:v1	Interleukin-8	OID20997	P10145	CXCL8	Neurology	B04414	P10145	CXCL8	CXCL8_P10145_OID20997_v1_Neurology.tar	syn51470442	ENSG00000169429	4	73740541	73743716	1	01:01	B
CXCL8:P10145:OID21430:v1	Interleukin-8	OID21430	P10145	CXCL8	Oncology	B04412	P10145	CXCL8	CXCL8_P10145_OID21430_v1_Oncology.tar	syn51470908	ENSG00000169429	4	73740541	73743716	1	01:01	C
CXCL9:Q07325:OID20675:v1	C-X-C motif chemokine 9	OID20675	Q07325	CXCL9	Inflammation	B04411	Q07325	CXCL9	CXCL9_Q07325_OID20675_v1_Inflammation.tar	syn51470185	ENSG00000138755	4	76001275	76007509	-1	01:10	D
DAB2:P98082:OID21428:v1	Disabled homolog 2	OID21428	P98082	DAB2	Oncology	B04412	P98082	DAB2	DAB2_P98082_OID21428_v1_Oncology.tar	syn51469947	ENSG00000153071	5	39371675	39462300	-1	01:01	C
DAG1:Q14118:OID20774:v1	Dystroglycan	OID20774	Q14118	DAG1	Inflammation	B04411	Q14118	DAG1	DAG1_Q14118_OID20774_v1_Inflammation.tar	syn51471410	ENSG00000173402	3	49468703	49535618	1	01:10	D
DAPP1:Q9UN19:OID20524:v1	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide	OID20524	Q9UN19	DAPP1	Inflammation	B04411	Q9UN19	DAPP1	DAPP1_Q9UN19_OID20524_v1_Inflammation.tar	syn51471459	ENSG00000070190	4	99816827	99870190	1	01:01	B
DARS1:P14868:OID20903:v1	"Aspartate--tRNA ligase, cytoplasmic "	OID20903	P14868	DARS1	Neurology	B04414	P14868	DARS1	DARS1_P14868_OID20903_v1_Neurology.tar	syn51471138	ENSG00000115866	2	135905881	135986100	-1	01:01	B
DBI:P07108:OID21143:v1	Acyl-CoA-binding protein	OID21143	P07108	DBI	Neurology	B04414	P07108	DBI	DBI_P07108_OID21143_v1_Neurology.tar	syn51469346	ENSG00000155368	2	119366924	119372550	1	0.111111111	D
DBNL:Q9UJU6:OID20681:v1	Drebrin-like protein	OID20681	Q9UJU6	DBNL	Inflammation	B04411	Q9UJU6	DBNL	DBNL_Q9UJU6_OID20681_v1_Inflammation.tar	syn51470216	ENSG00000136279	7	44044640	44069456	1	01:10	D
DCBLD2:Q96PD2:OID21474:v1	"Discoidin, CUB and LCCL domain-containing protein 2 "	OID21474	Q96PD2	DCBLD2	Oncology	B04412	Q96PD2	DCBLD2	DCBLD2_Q96PD2_OID21474_v1_Oncology.tar	syn51470268	ENSG00000057019	3	98795941	98901695	-1	01:10	D
DCN:P07585:OID20106:v1	Decorin	OID20106	P07585	DCN	Cardiometabolic	B04413	P07585	DCN	DCN_P07585_OID20106_v1_Cardiometabolic.tar	syn51468885	ENSG00000011465	12	91140484	91183217	-1	01:01	A
DCTN1:Q14203:OID21399:v1	Dynactin subunit 1	OID21399	Q14203	DCTN1	Oncology	B04412	Q14203	DCTN1	DCTN1_Q14203_OID21399_v1_Oncology.tar	syn51470161	ENSG00000204843	2	74361154	74392087	-1	01:01	C
DCTN2:Q13561:OID21334:v1	Dynactin subunit 2	OID21334	Q13561	DCTN2	Oncology	B04412	Q13561	DCTN2	DCTN2_Q13561_OID21334_v1_Oncology.tar	syn51468504	ENSG00000175203	12	57529633	57547224	-1	01:01	B
DCTN6:O00399:OID20879:v1	Dynactin subunit 6	OID20879	O00399	DCTN6	Neurology	B04414	O00399	DCTN6	DCTN6_O00399_OID20879_v1_Neurology.tar	syn51471268	ENSG00000104671	8	30156319	30183639	1	01:01	A
DCTPP1:Q9H773:OID20148:v1	dCTP pyrophosphatase 1	OID20148	Q9H773	DCTPP1	Cardiometabolic	B04413	Q9H773	DCTPP1	DCTPP1_Q9H773_OID20148_v1_Cardiometabolic.tar	syn51468419	ENSG00000179958	16	30423615	30430030	-1	01:10	B
DCXR:Q7Z4W1:OID21480:v1	L-xylulose reductase	OID21480	Q7Z4W1	DCXR	Oncology	B04412	Q7Z4W1	DCXR	DCXR_Q7Z4W1_OID21480_v1_Oncology.tar	syn51468757	ENSG00000169738	17	82035136	82037709	-1	01:10	D
DDAH1:O94760:OID21299:v1	Dimethylarginine dimethylaminohydrolase 1	OID21299	O94760	DDAH1	Oncology	B04412	O94760	DDAH1	DDAH1_O94760_OID21299_v1_Oncology.tar	syn51469522	ENSG00000153904	1	85318481	85578363	-1	01:01	B
DDC:P20711:OID20215:v1	Aromatic-L-amino-acid decarboxylase	OID20215	P20711	DDC	Cardiometabolic	B04413	P20711	DDC	DDC_P20711_OID20215_v1_Cardiometabolic.tar	syn51470985	ENSG00000132437	7	50458436	50565405	-1	01:10	B
DDR1:Q08345:OID21009:v1	Epithelial discoidin domain-containing receptor 1	OID21009	Q08345	DDR1	Neurology	B04414	Q08345	DDR1	DDR1_Q08345_OID21009_v1_Neurology.tar	syn51469055	ENSG00000204580	6	30876421	30900156	1	01:10	C
DDX58:O95786:OID21226:v1	Antiviral innate immune response receptor RIG-I	OID21226	O95786	DDX58	Oncology	B04412	O95786	DDX58	DDX58_O95786_OID21226_v1_Oncology.tar	syn51469181	ENSG00000107201	9	32455302	32526208	-1	01:01	A
DECR1:Q16698:OID20579:v1	"2,4-dienoyl-CoA reductase, mitochondrial "	OID20579	Q16698	DECR1	Inflammation	B04411	Q16698	DECR1	DECR1_Q16698_OID20579_v1_Inflammation.tar	syn51469470	ENSG00000104325	8	90001405	90053633	1	01:01	B
DEFA1_DEFA1B:P59665:OID20344:v1	Neutrophil defensin 1	OID20344	P59665	DEFA1_DEFA1B	Cardiometabolic	B04413	P59665	DEFA1	DEFA1_DEFA1B_P59665_OID20344_v1_Cardiometabolic.tar	syn51470762	ENSG00000206047	8	6977649	6980092	-1	0.736111111	D
DEFA1_DEFA1B:P59665:OID20344:v1	Neutrophil defensin 1	OID20344	P59665	DEFA1_DEFA1B	Cardiometabolic	B04413	P59665	DEFA1B	DEFA1_DEFA1B_P59665_OID20344_v1_Cardiometabolic.tar	syn51470762	ENSG00000240247	8	6996766	6999198	-1	0.736111111	D
DEFB4A_DEFB4B:O15263:OID21373:v1	Beta-defensin 4A	OID21373	O15263	DEFB4A_DEFB4B	Oncology	B04412	O15263	DEFB4A	DEFB4A_DEFB4B_O15263_OID21373_v1_Oncology.tar	syn51469333	ENSG00000171711	8	7894677	7896716	1	01:01	B
DEFB4A_DEFB4B:O15263:OID21373:v1	Beta-defensin 4A	OID21373	O15263	DEFB4A_DEFB4B	Oncology	B04412	O15263	DEFB4B	DEFB4A_DEFB4B_O15263_OID21373_v1_Oncology.tar	syn51469333	ENSG00000177257	8	7414855	7416863	-1	01:01	B
DFFA:O00273:OID20620:v1	DNA fragmentation factor subunit alpha	OID20620	O00273	DFFA	Inflammation	B04411	O00273	DFFA	DFFA_O00273_OID20620_v1_Inflammation.tar	syn51470251	ENSG00000160049	1	10456522	10472529	-1	01:01	C
DGKZ:Q13574:OID20466:v1	Diacylglycerol kinase zeta	OID20466	Q13574	DGKZ	Inflammation	B04411	Q13574	DGKZ	DGKZ_Q13574_OID20466_v1_Inflammation.tar	syn51470811	ENSG00000149091	11	46332905	46380554	1	01:01	A
DIABLO:Q9NR28:OID20184:v1	"Diablo homolog, mitochondrial "	OID20184	Q9NR28	DIABLO	Cardiometabolic	B04413	Q9NR28	DIABLO	DIABLO_Q9NR28_OID20184_v1_Cardiometabolic.tar	syn51471330	ENSG00000184047	12	122207663	122227456	-1	01:10	B
DKK1:O94907:OID21066:v1	Dickkopf-related protein 1	OID21066	O94907	DKK1	Neurology	B04414	O94907	DKK1	DKK1_O94907_OID21066_v1_Neurology.tar	syn51468425	ENSG00000107984	10	52314281	52318042	1	01:10	C
DKK3:Q9UBP4:OID20264:v1	Dickkopf-related protein 3	OID20264	Q9UBP4	DKK3	Cardiometabolic	B04413	Q9UBP4	DKK3	DKK3_Q9UBP4_OID20264_v1_Cardiometabolic.tar	syn51470187	ENSG00000050165	11	11956207	12009769	-1	0.111111111	C
DKK4:Q9UBT3:OID20934:v1	Dickkopf-related protein 4	OID20934	Q9UBT3	DKK4	Neurology	B04414	Q9UBT3	DKK4	DKK4_Q9UBT3_OID20934_v1_Neurology.tar	syn51471303	ENSG00000104371	8	42374063	42377229	-1	01:01	B
DKKL1:Q9UK85:OID21313:v1	Dickkopf-like protein 1	OID21313	Q9UK85	DKKL1	Oncology	B04412	Q9UK85	DKKL1	DKKL1_Q9UK85_OID21313_v1_Oncology.tar	syn51468709	ENSG00000104901	19	49361783	49375116	1	01:01	B
DLK1:P80370:OID20295:v1	Protein delta homolog 1	OID20295	P80370	DLK1	Cardiometabolic	B04413	P80370	DLK1	DLK1_P80370_OID20295_v1_Cardiometabolic.tar	syn51469414	ENSG00000185559	14	100725705	100738224	1	0.111111111	C
DLL1:O00548:OID21525:v1	Delta-like protein 1	OID21525	O00548	DLL1	Oncology	B04412	O00548	DLL1	DLL1_O00548_OID21525_v1_Oncology.tar	syn51470828	ENSG00000198719	6	170282206	170306565	-1	01:10	D
DNAJA2:O60884:OID20627:v1	DnaJ homolog subfamily A member 2	OID20627	O60884	DNAJA2	Inflammation	B04411	O60884	DNAJA2	DNAJA2_O60884_OID20627_v1_Inflammation.tar	syn51471141	ENSG00000069345	16	46955362	46973674	-1	01:01	C
DNAJB1:P25685:OID21363:v1	DnaJ homolog subfamily B member 1	OID21363	P25685	DNAJB1	Oncology	B04412	P25685	DNAJB1	DNAJB1_P25685_OID21363_v1_Oncology.tar	syn51469549	ENSG00000132002	19	14514769	14560391	-1	01:01	B
DNAJB8:Q8NHS0:OID20093:v1	DnaJ homolog subfamily B member 8	OID20093	Q8NHS0	DNAJB8	Cardiometabolic	B04413	Q8NHS0	DNAJB8	DNAJB8_Q8NHS0_OID20093_v1_Cardiometabolic.tar	syn51469681	ENSG00000179407	3	128462437	128466968	-1	01:01	A
DNER:Q8NFT8:OID20712:v1	Delta and Notch-like epidermal growth factor-related receptor	OID20712	Q8NFT8	DNER	Inflammation	B04411	Q8NFT8	DNER	DNER_Q8NFT8_OID20712_v1_Inflammation.tar	syn51468762	ENSG00000187957	2	229357629	229714555	-1	01:10	D
DNMBP:Q6XZF7:OID20956:v1	Dynamin-binding protein	OID20956	Q6XZF7	DNMBP	Neurology	B04414	Q6XZF7	DNMBP	DNMBP_Q6XZF7_OID20956_v1_Neurology.tar	syn51469854	ENSG00000107554	10	99875577	100009947	-1	01:01	B
DNPH1:O43598:OID20744:v1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	OID20744	O43598	DNPH1	Inflammation	B04411	O43598	DNPH1	DNPH1_O43598_OID20744_v1_Inflammation.tar	syn51470209	ENSG00000112667	6	43225629	43229481	-1	01:10	D
DOK2:O60496:OID20138:v1	Docking protein 2	OID20138	O60496	DOK2	Cardiometabolic	B04413	O60496	DOK2	DOK2_O60496_OID20138_v1_Cardiometabolic.tar	syn51469588	ENSG00000147443	8	21908873	21913690	-1	01:10	B
DPEP1:P16444:OID20897:v1	Dipeptidase 1	OID20897	P16444	DPEP1	Neurology	B04414	P16444	DPEP1	DPEP1_P16444_OID20897_v1_Neurology.tar	syn51470979	ENSG00000015413	16	89613308	89638456	1	01:01	B
DPEP2:Q9H4A9:OID21305:v1	Dipeptidase 2	OID21305	Q9H4A9	DPEP2	Oncology	B04412	Q9H4A9	DPEP2	DPEP2_Q9H4A9_OID21305_v1_Oncology.tar	syn51471389	ENSG00000167261	16	67987394	68000586	-1	01:01	B
DPP10:Q8N608:OID20527:v1	Inactive dipeptidyl peptidase 10	OID20527	Q8N608	DPP10	Inflammation	B04411	Q8N608	DPP10	DPP10_Q8N608_OID20527_v1_Inflammation.tar	syn51468580	ENSG00000175497	2	114442299	115845780	1	01:01	B
DPP4:P27487:OID20406:v1	Dipeptidyl peptidase 4	OID20406	P27487	DPP4	Cardiometabolic	B04413	P27487	DPP4	DPP4_P27487_OID20406_v1_Cardiometabolic.tar	syn51469224	ENSG00000197635	2	161992245	162074394	-1	0.736111111	D
DPP6:P42658:OID21354:v1	Dipeptidyl aminopeptidase-like protein 6	OID21354	P42658	DPP6	Oncology	B04412	P42658	DPP6	DPP6_P42658_OID21354_v1_Oncology.tar	syn51470502	ENSG00000130226	7	153887097	154894285	1	01:01	B
DPP7:Q9UHL4:OID20142:v1	Dipeptidyl peptidase 2	OID20142	Q9UHL4	DPP7	Cardiometabolic	B04413	Q9UHL4	DPP7	DPP7_Q9UHL4_OID20142_v1_Cardiometabolic.tar	syn51469319	ENSG00000176978	9	137110546	137115177	-1	01:10	B
DPT:Q07507:OID20278:v1	Dermatopontin	OID20278	Q07507	DPT	Cardiometabolic	B04413	Q07507	DPT	DPT_Q07507_OID20278_v1_Cardiometabolic.tar	syn51468438	ENSG00000143196	1	168695468	168729206	-1	0.111111111	C
DPY30:Q9C005:OID21410:v1	Protein dpy-30 homolog	OID21410	Q9C005	DPY30	Oncology	B04412	Q9C005	DPY30	DPY30_Q9C005_OID21410_v1_Oncology.tar	syn51471287	ENSG00000162961	2	31867809	32039805	-1	01:01	C
DRAXIN:Q8NBI3:OID20917:v1	Draxin	OID20917	Q8NBI3	DRAXIN	Neurology	B04414	Q8NBI3	DRAXIN	DRAXIN_Q8NBI3_OID20917_v1_Neurology.tar	syn51469500	ENSG00000162490	1	11691710	11725857	1	01:01	B
DRG2:P55039:OID21335:v1	Developmentally-regulated GTP-binding protein 2	OID21335	P55039	DRG2	Oncology	B04412	P55039	DRG2	DRG2_P55039_OID21335_v1_Oncology.tar	syn51470476	ENSG00000108591	17	18087892	18107970	1	01:01	B
DSC2:Q02487:OID21079:v1	Desmocollin-2	OID21079	Q02487	DSC2	Neurology	B04414	Q02487	DSC2	DSC2_Q02487_OID21079_v1_Neurology.tar	syn51470274	ENSG00000134755	18	31058840	31102522	-1	0.111111111	D
DSG2:Q14126:OID21113:v1	Desmoglein-2	OID21113	Q14126	DSG2	Neurology	B04414	Q14126	DSG2	DSG2_Q14126_OID21113_v1_Neurology.tar	syn51471194	ENSG00000046604	18	31498177	31549008	1	0.111111111	D
DSG3:P32926:OID21460:v1	Desmoglein-3	OID21460	P32926	DSG3	Oncology	B04412	P32926	DSG3	DSG3_P32926_OID21460_v1_Oncology.tar	syn51470932	ENSG00000134757	18	31447741	31478702	1	01:01	C
DSG4:Q86SJ6:OID21325:v1	Desmoglein-4	OID21325	Q86SJ6	DSG4	Oncology	B04412	Q86SJ6	DSG4	DSG4_Q86SJ6_OID21325_v1_Oncology.tar	syn51469171	ENSG00000175065	18	31376777	31414912	1	01:01	B
DTX3:Q8N9I9:OID21349:v1	Probable E3 ubiquitin-protein ligase DTX3	OID21349	Q8N9I9	DTX3	Oncology	B04412	Q8N9I9	DTX3	DTX3_Q8N9I9_OID21349_v1_Oncology.tar	syn51469421	ENSG00000178498	12	57604622	57609804	1	01:01	B
DUOX2:Q9NRD8:OID20059:v1	Dual oxidase 2	OID20059	Q9NRD8	DUOX2	Cardiometabolic	B04413	Q9NRD8	DUOX2	DUOX2_Q9NRD8_OID20059_v1_Cardiometabolic.tar	syn51471370	ENSG00000140279	15	45092650	45114172	-1	01:01	A
DUSP3:P51452:OID20827:v1	Dual specificity protein phosphatase 3	OID20827	P51452	DUSP3	Neurology	B04414	P51452	DUSP3	DUSP3_P51452_OID20827_v1_Neurology.tar	syn51471294	ENSG00000108861	17	43766125	43778977	-1	01:01	A
EBAG9:O00559:OID20918:v1	Receptor-binding cancer antigen expressed on SiSo cells	OID20918	O00559	EBAG9	Neurology	B04414	O00559	EBAG9	EBAG9_O00559_OID20918_v1_Neurology.tar	syn51469576	ENSG00000147654	8	109539711	109565996	1	01:01	B
EBI3_IL27:Q14213_Q8NEV9:OID21389:v1	Interleukin-27	OID21389	Q14213_Q8NEV9	EBI3_IL27	Oncology	B04412	Q14213	EBI3	EBI3_IL27_Q14213_Q8NEV9_OID21389_v1_Oncology.tar	syn51470439	ENSG00000105246	19	4229523	4237528	1	01:01	C
ECE1:P42892:OID20891:v1	Endothelin-converting enzyme 1	OID20891	P42892	ECE1	Neurology	B04414	P42892	ECE1	ECE1_P42892_OID20891_v1_Neurology.tar	syn51471225	ENSG00000117298	1	21217247	21345572	-1	01:01	A
EDA2R:Q9HAV5:OID21451:v1	Tumor necrosis factor receptor superfamily member 27	OID21451	Q9HAV5	EDA2R	Oncology	B04412	Q9HAV5	EDA2R	EDA2R_Q9HAV5_OID21451_v1_Oncology.tar	syn51469122	ENSG00000131080	X	66595637	66639298	-1	01:01	C
EDAR:Q9UNE0:OID20525:v1	Tumor necrosis factor receptor superfamily member EDAR	OID20525	Q9UNE0	EDAR	Inflammation	B04411	Q9UNE0	EDAR	EDAR_Q9UNE0_OID20525_v1_Inflammation.tar	syn51470343	ENSG00000135960	2	108894471	108989372	-1	01:01	B
EDIL3:O43854:OID20081:v1	EGF-like repeat and discoidin I-like domain-containing protein 3	OID20081	O43854	EDIL3	Cardiometabolic	B04413	O43854	EDIL3	EDIL3_O43854_OID20081_v1_Cardiometabolic.tar	syn51469469	ENSG00000164176	5	83940554	84384880	-1	01:01	A
EFEMP1:Q12805:OID20414:v1	EGF-containing fibulin-like extracellular matrix protein 1	OID20414	Q12805	EFEMP1	Cardiometabolic	B04413	Q12805	EFEMP1	EFEMP1_Q12805_OID20414_v1_Cardiometabolic.tar	syn51470290	ENSG00000115380	2	55865967	55924139	-1	0.736111111	D
EFNA1:P20827:OID21125:v1	Ephrin-A1	OID21125	P20827	EFNA1	Neurology	B04414	P20827	EFNA1	EFNA1_P20827_OID21125_v1_Neurology.tar	syn51469424	ENSG00000169242	1	155127876	155134899	1	0.111111111	D
EFNA4:P52798:OID20935:v1	Ephrin-A4	OID20935	P52798	EFNA4	Neurology	B04414	P52798	EFNA4	EFNA4_P52798_OID20935_v1_Neurology.tar	syn51468785	ENSG00000243364	1	155063737	155069553	1	01:01	B
EGF:P01133:OID20698:v1	Pro-epidermal growth factor	OID20698	P01133	EGF	Inflammation	B04411	P01133	EGF	EGF_P01133_OID20698_v1_Inflammation.tar	syn51468410	ENSG00000138798	4	109912883	110013766	1	01:10	D
EGFL7:Q9UHF1:OID21252:v1	Epidermal growth factor-like protein 7	OID21252	Q9UHF1	EGFL7	Oncology	B04412	Q9UHF1	EGFL7	EGFL7_Q9UHF1_OID21252_v1_Oncology.tar	syn51470021	ENSG00000172889	9	136658856	136672678	1	01:01	A
EGFR:P00533:OID20319:v1	Epidermal growth factor receptor	OID20319	P00533	EGFR	Cardiometabolic	B04413	P00533	EGFR	EGFR_P00533_OID20319_v1_Cardiometabolic.tar	syn51468693	ENSG00000146648	7	55019017	55211628	1	0.111111111	C
EGLN1:Q9GZT9:OID20572:v1	Egl nine homolog 1	OID20572	Q9GZT9	EGLN1	Inflammation	B04411	Q9GZT9	EGLN1	EGLN1_Q9GZT9_OID20572_v1_Inflammation.tar	syn51469604	ENSG00000135766	1	231363751	231422287	-1	01:01	B
EIF4B:P23588:OID21000:v1	Eukaryotic translation initiation factor 4B	OID21000	P23588	EIF4B	Neurology	B04414	P23588	EIF4B	EIF4B_P23588_OID21000_v1_Neurology.tar	syn51470744	ENSG00000063046	12	53006282	53042215	1	01:01	B
EIF4EBP1:Q13541:OID20162:v1	Eukaryotic translation initiation factor 4E-binding protein 1	OID20162	Q13541	EIF4EBP1	Cardiometabolic	B04413	Q13541	EIF4EBP1	EIF4EBP1_Q13541_OID20162_v1_Cardiometabolic.tar	syn51469358	ENSG00000187840	8	38030534	38060365	1	01:10	B
EIF4G1:Q04637:OID20625:v1	Eukaryotic translation initiation factor 4 gamma 1	OID20625	Q04637	EIF4G1	Inflammation	B04411	Q04637	EIF4G1	EIF4G1_Q04637_OID20625_v1_Inflammation.tar	syn51469404	ENSG00000114867	3	184314495	184335358	1	01:01	C
EIF5A:P63241:OID20423:v1	Eukaryotic translation initiation factor 5A-1	OID20423	P63241	EIF5A	Inflammation	B04411	P63241	EIF5A	EIF5A_P63241_OID20423_v1_Inflammation.tar	syn51468508	ENSG00000132507	17	7306999	7312463	1	01:01	A
ELOA:Q14241:OID21337:v1	Elongin-A	OID21337	Q14241	ELOA	Oncology	B04412	Q14241	ELOA	ELOA_Q14241_OID21337_v1_Oncology.tar	syn51470790	ENSG00000011007	1	23743448	23762059	1	01:01	B
ENAH:Q8N8S7:OID20497:v1	Protein enabled homolog	OID20497	Q8N8S7	ENAH	Inflammation	B04411	Q8N8S7	ENAH	ENAH_Q8N8S7_OID20497_v1_Inflammation.tar	syn51469968	ENSG00000154380	1	225486829	225653142	-1	01:01	A
ENG:P17813:OID20287:v1	Endoglin	OID20287	P17813	ENG	Cardiometabolic	B04413	P17813	ENG	ENG_P17813_OID20287_v1_Cardiometabolic.tar	syn51471342	ENSG00000106991	9	127815013	127854658	-1	0.111111111	C
ENO1:P06733:OID21037:v1	Alpha-enolase	OID21037	P06733	ENO1	Neurology	B04414	P06733	ENO1	ENO1_P06733_OID21037_v1_Neurology.tar	syn51468790	ENSG00000074800	1	8861000	8879190	-1	01:10	C
ENO2:P09104:OID21046:v1	Gamma-enolase	OID21046	P09104	ENO2	Neurology	B04414	P09104	ENO2	ENO2_P09104_OID21046_v1_Neurology.tar	syn51470495	ENSG00000111674	12	6913745	6923698	1	01:10	C
ENPP2:Q13822:OID20288:v1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	OID20288	Q13822	ENPP2	Cardiometabolic	B04413	Q13822	ENPP2	ENPP2_Q13822_OID20288_v1_Cardiometabolic.tar	syn51471232	ENSG00000136960	8	119557086	119673453	-1	0.111111111	C
ENPP5:Q9UJA9:OID20736:v1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	OID20736	Q9UJA9	ENPP5	Inflammation	B04411	Q9UJA9	ENPP5	ENPP5_Q9UJA9_OID20736_v1_Inflammation.tar	syn51471034	ENSG00000112796	6	46159185	46170980	-1	01:10	D
ENPP7:Q6UWV6:OID20689:v1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	OID20689	Q6UWV6	ENPP7	Inflammation	B04411	Q6UWV6	ENPP7	ENPP7_Q6UWV6_OID20689_v1_Inflammation.tar	syn51469357	ENSG00000182156	17	79730943	79742219	1	01:10	D
ENTPD2:Q9Y5L3:OID21260:v1	Ectonucleoside triphosphate diphosphohydrolase 2	OID21260	Q9Y5L3	ENTPD2	Oncology	B04412	Q9Y5L3	ENTPD2	ENTPD2_Q9Y5L3_OID21260_v1_Oncology.tar	syn51471265	ENSG00000054179	9	137048107	137054061	-1	01:01	A
ENTPD5:O75356:OID20104:v1	Ectonucleoside triphosphate diphosphohydrolase 5	OID20104	O75356	ENTPD5	Cardiometabolic	B04413	O75356	ENTPD5	ENTPD5_O75356_OID20104_v1_Cardiometabolic.tar	syn51471298	ENSG00000187097	14	73958010	74019399	-1	01:01	A
